JobTitle,JobPostingURL,Locations,CompanyName,CompanyTagline,CompanyFounded,EmployeeCount,AboutCompany,Skills,Job ID
Software Engineer II,https://www.instahyre.com/job-327840-software-engineer-ii-at-wayfair-bangalore/,Bangalore,Wayfair,Creating a feeling of home,2002.0,1000,"Wayfair is the online destination for the home and a pure-play online retailer that offers a wide range of home goods and furniture products for the bedroom, living room, kitchen and dining, bathroom, and more. ","Java, Hibernate, J2EE, Spring, Struts",327840
Sr. Fullstack Developer,https://www.instahyre.com/job-323888-sr-fullstack-developer-at-winmore-bangalore/,Bangalore,Winmore,The market leader in AI-driven price and process optimization,2022.0,50,"Winmore is cloud based RFP and tender management software built exclusively for freight forwarders, carriers and freight brokers serving as a central dashboard to simplify price and process optimization. ","Node.js, React.js, AWS, SQL",323888
Senior Software Engineer,https://www.instahyre.com/job-321405-senior-software-engineer-at-ontic-2-noida/,Noida,Ontic,Serving intelligence to those who protect,2017.0,50,Ontic is an intelligence software company that keeps the physical assets of companies safe by collecting and connecting threat indicators to provide a comprehensive view of potential threats. ,"Java, Spring Boot, Elasticsearch, MongoDB",321405
React.js / Next.js Developer,https://www.instahyre.com/job-329488-reactjs-nextjs-developer-at-araneux-systems-surat/,Surat,Araneux Systems,Creating powerful solutions with innovative technology,2014.0,1,"Araneux Systems is an IT company specializing in web and app development, design, content management, SEO optimization, and more, leveraging AI and ML to streamline processes and enhance user experiences. ","JavaScript, PHP, Python, Django, Laravel, React.js",329488
Business Development Associate,https://www.instahyre.com/job-330000-business-development-associate-at-hranker-gurgaon/,Gurgaon,Hranker,A Growth Partner for Educational Institutes,2020.0,10,"Hranker is an online platform that has expertise in providing mock tests for various government exams like SSC CGL, Bank Po, Railways NTPC, UGC NET, etc. ","Business Development, Corporate Sales, Sales",330000
Frontend Engineer,https://www.instahyre.com/job-323288-frontend-engineer-at-atlys-delhi/,Delhi,Atlys,Atlys' mission is to enable every person on earth to travel freely,2020.0,50,Atlys is a technology-enabled company that aims to make travel efficient for customers by prioritizing and automating interactions to make it easy to get a visa for enough travelers. ,"CSS, HTML, JavaScript, React.js, Vue.js",323288
Quant Developer,https://www.instahyre.com/job-10762-quant-developer-at-kivi-capital-gurgaon/,Gurgaon,Kivi Capital,Think Test Trade,2011.0,10,Kivi Capital specializes in developing quantitative trading strategies and their execution through algorithmic trading infrastructure. The firm uses proprietary trading algorithms and strives to generate superior risk adjusted return for its clients.,"C, C++, Python",10762
Java Developer,https://www.instahyre.com/job-330022-java-developer-at-camsdata-technology-hyderabad/,Hyderabad,Camsdata Technology,Building futuristic technologies that will transform the tech world,2016.0,50,"Camsdata is an IT company with services spanning various industries. It helps customers do business better by leveraging their expertise in CAMS (Cloud, Analytics, Mobility, Security) Technologies. ","Golang, Java, Hibernate, J2EE, Spring",330022
Senior Software Engineer,https://www.instahyre.com/job-319037-senior-software-engineer-at-quartzy-work-from-home/,Work From Home,Quartzy,The world’s leading lab management platform,2009.0,50,"Quartzy is a cloud-based lab management platform enabling laboratories to streamline communications, manage inventory, and handle purchasing, helping life scientists and lab managers to optimize their resources. ","PHP, Laravel, React.js, Ember.js, Elasticsearch",319037
QA Lead,https://www.instahyre.com/job-318369-qa-lead-at-thriving-springs-hyderabad/,Hyderabad,Thriving Springs,AI-powered employee learning and engagement suite,2022.0,10,Thriving Springs is an IT company developing an AI and ML powered employee learning and engagement suite to bridge the gap in employee development by implementing emotional intelligence in daily workflows. ,"Automation Testing, Mobile Apps Testing, Performance Testing, Appium, Cucumber, JMeter, QTP, Selenium",318369
SDE 1 (UI),https://www.instahyre.com/job-326954-sde-1-ui-at-increff-bangalore/,Bangalore,Increff,Incredible Efficiency,2016.0,50,"Increff is a supply chain management solution for fashion brands with features like order management, fashion insights, physical storage & fulfillment, operational support, and custom report generation capabilities.","Node.js, React.js, Angular, Next.js, JavaScript",326954
Customer Care Executive,https://www.instahyre.com/job-316405-customer-care-executive-at-startek-delhi/,Delhi,Startek,"Changing the world, one conversation at a time",1987.0,1000,"Startek is a provider of tech-enabled solutions across the areas of omnichannel marketing, customer experiences, digital transformation, process management, analytics, and cloud computing to global brands. ","Customer Service, Customer Relationship, Customer Interaction",316405
Financial Planning and Analysis Specialist,https://www.instahyre.com/job-330009-financial-planning-and-analysis-specialist-at-mobisy-technologies-bangalore/,Bangalore,Mobisy Technologies,The retail intelligence platform,2008.0,200,"Mobisy Technologies is a computer software organization that provides services related to Sales Force Automation, Enterprise Mobility, Supply Chain Automation, Mobile Application Development, etc. ","Accounting, Auditing, Finance, Taxation, Budgeting, Chartered Accountant, Financial Analysis, Financial Planning, Financial Reporting, GST, Internal Audit, MIS, QuickBooks, Zoho Books",330009
MSBI Developer,https://www.instahyre.com/job-329355-msbi-developer-at-winwire-technologies-bangalore/,Bangalore,Winwire Technologies,Stitching the digital fabric with systems of intelligence,2006.0,200,"WinWire Technologies is an IT & Service company that provides services related to cloud, advanced analytics, IoT, mobility, security, UI/UX, AI, machine learning, etc.","Business Intelligence, SSRS, SSIS, SQL, SSAS",329355
Senior Analyst,https://www.instahyre.com/job-327981-senior-analyst-at-narvar-bangalore/,Bangalore,Narvar,Simplify the everyday lives of consumers,2012.0,200,"Narvar helps retailers champion their customers at every step of the journey specializing in Pre-purchase delivery prediction, branded package tracking, seamless returns and exchanges, in-store experiences, etc. ","Data Visualization, SQL, Salesforce, Microsoft Excel, Metabase",327981
Staff Software Engineer,https://www.instahyre.com/job-328494-staff-software-engineer-at-fermat-bangalore/,Bangalore,FERMAT,The customer journey optimization platform,2021.0,10,"FERMAT is a content-native e-commerce platform helping brands enhance influencer impact, boost brand sales, and attract end-users through efficient conversions and customer acquisition leveraging valuable insights. ","ETL, Data Warehousing, dbt, Data Integration, Data Analysis",328494
Business Analytics,https://www.instahyre.com/job-329633-business-analytics-at-kotak-mahindra-bank-mumbai/,Mumbai,Kotak Mahindra Bank,India's leading banking and financial services group,1985.0,1000,"Kotak Mahindra is a financial services conglomerate that offers banking products and solutions for commercial banking, stock broking, mutual funds, life insurance, and investment banking. ","SQL, Python, SAS, Business Analysis",329633
Team Leader,https://www.instahyre.com/job-323533-team-leader-at-eureka-outsourcing-solutions-delhi/,Delhi,Eureka Outsourcing Solutions,Going beyond consumer experience,1997.0,1000,"Eureka Outsourcing Solutions is an outsourcing organization that provides services related to Automotive, Banking, Healthcare, Insurance, Manufacturing, etc.",Customer Service,323533
