JobTitle,JobPostingURL,Locations,CompanyName,CompanyTagline,CompanyFounded,EmployeeCount,AboutCompany,Job ID,Skill1,Skill2,Skill3,Skill4,Skill5,Skill6,Skill7,Skill8,Skill9,Skill10
Training Consultant,https://www.instahyre.com/job-220759-training-consultant-at-blue-ocean-academy-delhi/,Delhi,Blue Ocean Academy,Imparting futuristic skills to a new genre of industry leaders,1988.0,10,"Blue Ocean Academy is an education-empowering organization that aims to help students and foster learning by providing a vast range of educational courses, webinars, and corporate training services. ",220759,Business Development,Corporate Sales,Direct Sales,Sales,Telecalling,,,,,
Lead Product Engineer - Backend,https://www.instahyre.com/job-323805-lead-product-engineer-backend-at-sprinklr-gurgaon/,Gurgaon,Sprinklr,A billion dollar start-up that cracked social advertising,2009.0,1000,"Sprinklr is social media management enterprise system providing products for Marketing, Advertising, Research, Commerce, Social, Customer Care, Strategy, Analytics, Optimization, Design, etc. ",323805,Java,Hibernate,Spring,,,,,,,
iOS Developer,https://www.instahyre.com/job-319681-ios-developer-at-loco-work-from-home/,Work From Home,Loco,India ka apna gaming platform,2020.0,50,"Loco is a leading live game streaming platform made in India for the Indian gaming community. It enables people and enthusiasts to watch gaming streams of games like FIFA, CS GO, DOTA 2 all in one place. ",319681,iOS,,,,,,,,,
SDE II,https://www.instahyre.com/job-325031-sde-ii-at-betafront-technologies-bangalore/,Bangalore,Betafront Technologies,A gateway to innovative tech solutions,2024.0,10,"Betafront is a tech startup that specializes in comprehensive services, including app and platform development, data analytics, AI, and customer onboarding and verification to ensure a seamless client experience. ",325031,Python,AWS,Agile,MySQL,NoSQL,,,,,
Rupicard - Copy Writing Strategist,https://www.instahyre.com/job-330146-rupicard-copy-writing-strategist-at-rupicard-bangalore/,Bangalore,RupiCard,Providing credit card against fixed deposit,2022.0,10,RupiCard is a financial services-focused startup that mainly aims to build and offer credit cards for Indian customers against fixed deposits with an RBI-approved bank without any hidden or annual charges. ,330146,Copy Writing,Content Writing,,,,,,,,
Business Development Executive,https://www.instahyre.com/job-330082-business-development-executive-at-thrillophilia-3-jaipur/,Jaipur,Thrillophilia,Changing how the world experiences the world,2011.0,500,"Thrillophilia is an online platform for discovering and booking travel experiences that offers 24,000+ products and services ranging from adventures, sightseeing tours, offbeat honeymoon options, and more. ",330082,Sales,Business Development,Marketing,CRM,Digital Marketing,,,,,
React Native Engineer,https://www.instahyre.com/job-182318-react-native-engineer-at-stanplus-bangalore/,Bangalore,StanPlus,Smart medical response,2016.0,200,StanPlus is a hospital and healthcare organization that provides services related to tech solutions that augment existing medical response systems to respond faster for hospitals and healthcare units.,182318,React Native,Hybrid Apps,,,,,,,,
Software Engineer,https://www.instahyre.com/job-329889-software-engineer-at-habuild-bangalore/,Bangalore,Habuild,Helping people build sustainable habits with the help of technology,2022.0,1,"Habuild is a tech-driven company with a mission to help people build sustainable habits for a healthy lifestyle, using a unique combination of ancient practices, digital interactions, and modern techniques. ",329889,Node.js,Kafka,Microservices,AWS,PostgreSQL,,,,,
Senior Business Development Associate,https://www.instahyre.com/job-285630-senior-business-development-associate-at-learning-shala-delhi/,Delhi,Learning Shala,Choose your tomorrow,2018.0,50,"Learning Shala is a distance learning portal that enables students and working professionals to search for information about distance learning courses like certifications, colleges, admission procedures, etc. ",285630,Business Development,Corporate Sales,Direct Sales,International Sales,Sales,Telecalling,,,,
Senior DevOps Engineer,https://www.instahyre.com/job-327827-senior-devops-engineer-at-aheadrace-mumbai/,Mumbai,AheadRace,The application problem holding your business is solved,2014.0,50,"AheadRace caters to solving business technology problems with expertise in Mobile App Development, Full-Stack Product Development, Product Engineering, Cloud Integrations, etc.",327827,DevOps,Docker,Kubernetes,Python,,,,,,
